sample_code,date_sampling,Flow
R,2021-01-14 00:00:00,7.33
D1,2021-04-12 00:00:00,45.0
D1,2021-04-10 00:00:00,44.9
D1,2021-04-11 00:00:00,46.6
D2,2021-04-11 00:00:00,10.5
R,2021-08-03 00:00:00,7.38
F,2020-10-01 00:00:00,1.870644414
F,2020-10-02 00:00:00,1.866453195
F,2020-10-03 00:00:00,1.883538168
F,2020-10-04 00:00:00,1.915285191
F,2020-10-05 00:00:00,1.914838847
F,2020-10-07 00:00:00,1.90805977
F,2020-10-08 00:00:00,1.901905281
F,2020-10-09 00:00:00,1.896454113
F,2020-10-10 00:00:00,1.857545229
F,2020-10-11 00:00:00,1.91980213
F,2020-10-12 00:00:00,1.703929675
F,2020-10-13 00:00:00,1.887594542
F,2020-10-14 00:00:00,1.87249104
F,2020-10-15 00:00:00,1.904052935
F,2020-10-16 00:00:00,1.865511883
F,2020-10-17 00:00:00,1.86671461
F,2020-10-18 00:00:00,1.933533546
F,2020-10-19 00:00:00,1.942591485
F,2020-10-20 00:00:00,1.94314005
F,2020-10-21 00:00:00,1.905497654
F,2020-10-22 00:00:00,1.891159395
F,2020-10-23 00:00:00,1.87229092
F,2020-10-24 00:00:00,1.866170097
F,2020-10-25 00:00:00,1.917523981
F,2020-10-26 00:00:00,1.927832182
F,2020-10-27 00:00:00,1.881418854
F,2020-10-28 00:00:00,1.889713876
F,2020-10-29 00:00:00,1.876763826
F,2020-10-30 00:00:00,1.841501759
F,2020-10-31 00:00:00,1.825051726
F,2020-11-01 00:00:00,1.875251261
F,2020-11-02 00:00:00,1.875360545
F,2020-11-03 00:00:00,1.85252703
F,2020-11-04 00:00:00,1.866993076
F,2020-11-05 00:00:00,1.882099016
F,2020-11-06 00:00:00,1.851574958
F,2020-11-07 00:00:00,1.851692458
F,2020-11-08 00:00:00,1.921192356
F,2020-11-09 00:00:00,1.918972338
F,2020-11-10 00:00:00,1.90289925
F,2020-11-11 00:00:00,1.910701613
F,2020-11-12 00:00:00,1.901824416
F,2020-11-13 00:00:00,1.893604398
F,2020-11-14 00:00:00,1.885364888
F,2020-11-15 00:00:00,1.9238301
F,2020-11-16 00:00:00,1.893948414
F,2020-11-17 00:00:00,2.07294898
F,2020-11-18 00:00:00,2.20182342
F,2020-11-19 00:00:00,2.017983011
F,2020-11-20 00:00:00,1.949988519
F,2020-11-21 00:00:00,1.913365405
F,2020-11-22 00:00:00,1.970285617
F,2020-11-23 00:00:00,1.953971771
F,2020-11-24 00:00:00,1.95817127
F,2020-11-25 00:00:00,1.966006509
F,2020-11-26 00:00:00,1.997241044
F,2020-11-27 00:00:00,1.867650588
F,2020-11-28 00:00:00,1.900979355
F,2020-11-29 00:00:00,1.936425973
F,2020-11-30 00:00:00,1.920826578
F,2020-12-01 00:00:00,1.926259503
F,2020-12-02 00:00:00,1.943253408
F,2020-12-03 00:00:00,1.901242323
F,2020-12-04 00:00:00,1.899037735
F,2020-12-05 00:00:00,1.910289486
F,2020-12-06 00:00:00,1.988173087
F,2020-12-07 00:00:00,1.935024629
F,2020-12-08 00:00:00,1.911120986
F,2020-12-09 00:00:00,1.929635294
F,2020-12-10 00:00:00,1.935076637
F,2020-12-11 00:00:00,1.924619992
F,2020-12-12 00:00:00,1.980606142
F,2020-12-13 00:00:00,2.575235686
F,2020-12-14 00:00:00,2.186631051
F,2020-12-15 00:00:00,2.040809714
F,2020-12-16 00:00:00,2.007984908
