sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower
A,2020-10-02,Influent,County 6,N1_per_PMMoV,['1'],[60.0],[3],[0.0005588081937394849],0.0005588081937394,,,
A,2020-10-02,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[60.0],[3],[2.057956928332534],2.057956928332534,,,
A,2020-10-02,Influent,County 6,pmmov_gc_per_mL,['1'],[60.0],[3],[3682.7608316923656],3682.760831692366,,,
A,2020-10-05,Influent,County 6,N1_per_PMMoV,['1'],[85.0],[0],[0.0003379925008596677],0.0003379925008596,,,
A,2020-10-05,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[2.0143522598514414],2.0143522598514414,,,
A,2020-10-05,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[5959.754298477135],5959.754298477137,,,
A,2020-10-13,Influent,County 6,N1_per_PMMoV,['1'],[75.0],[1],[0.0004735211428033391],0.0004735211428033,,,
A,2020-10-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[75.0],[1],[2.0194370819134164],2.0194370819134164,,,
A,2020-10-13,Influent,County 6,pmmov_gc_per_mL,['1'],[75.0],[1],[4264.7242105346095],4264.724210534613,,,
A,2020-10-20,Influent,County 6,N1_per_PMMoV,['1'],[85.0],[0],[0.0004717375497049009],0.0004717375497049,,,
A,2020-10-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[1.945761887389031],1.945761887389031,,,
A,2020-10-20,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[4124.670356655342],4124.670356655341,,,
A,2020-10-27,Influent,County 6,N1_per_PMMoV,['1'],[85.0],[0],[0.0005702243877372243],0.0005702243877372,,,
A,2020-10-27,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[1.9682617788165828],1.9682617788165828,,,
A,2020-10-27,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[3451.732021892431],3451.732021892432,,,
A,2020-11-03,Influent,County 6,N1_per_PMMoV,['1'],[85.0],[0],[0.00026540801464569537],0.0002654080146456,,,
A,2020-11-03,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[2.004259050482275],2.004259050482275,,,
A,2020-11-03,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[7551.614645691265],7551.614645691262,,,
A,2020-11-10,Influent,County 6,N1_per_PMMoV,['1'],[80.0],[1],[0.0005044113927064818],0.0005044113927064,,,
A,2020-11-10,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[80.0],[1],[2.6961456856967962],2.696145685696796,,,
A,2020-11-10,Influent,County 6,pmmov_gc_per_mL,['1'],[80.0],[1],[5345.132415091366],5345.132415091369,,,
A,2020-11-17,Influent,County 6,N1_per_PMMoV,['1'],[80.0],[3],[5.8496357396244114e-05],5.8496357396244114e-05,,,
A,2020-11-17,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[80.0],[3],[2.861298825053223],2.861298825053223,,,
A,2020-11-17,Influent,County 6,pmmov_gc_per_mL,['1'],[80.0],[3],[48914.136749939564],48914.13674993959,,,
A,2020-11-23,Influent,County 6,N1_per_PMMoV,['1'],[80.0],[3],[0.023682098483693657],0.0236820984836936,,,
A,2020-11-23,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[80.0],[3],[41.52826576843499],41.52826576843498,,,
A,2020-11-23,Influent,County 6,pmmov_gc_per_mL,['1'],[80.0],[3],[1753.5720407982146],1753.5720407982153,,,
A,2020-12-01,Influent,County 6,N1_per_PMMoV,['1'],[90.0],[3],[0.0018769359608048503],0.0018769359608048,,,
A,2020-12-01,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[90.0],[3],[27.64350794827069],27.64350794827069,,,
A,2020-12-01,Influent,County 6,pmmov_gc_per_mL,['1'],[90.0],[3],[14727.997398705524],14727.997398705516,,,
A,2020-12-08,Influent,County 6,N1_per_PMMoV,"['1', '2']","[85.0, 75.0]","[3, 3]","[0.015734172081479, nan]",0.0157341720814789,,,
A,2020-12-08,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 75.0]","[3, 3]","[112.00737918402265, 111.95138312922327]",111.97937765647174,1.0003536561071538,112.01897984725522,111.93978946629348
A,2020-12-08,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 75.0]","[3, 3]","[7118.733582167232, nan]",7118.733582167235,,,
A,2020-12-15,Influent,County 6,N1_per_PMMoV,"['1', '2']","[80.0, 75.0]","[2, 2]","[0.0012085373320875673, nan]",0.0012085373320875,,,
A,2020-12-15,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[80.0, 75.0]","[2, 2]","[4.92688374649896, 1.9853160804662733]",3.1275264233116085,1.9016264433916816,5.947386948975561,1.6446586732005313
A,2020-12-15,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[80.0, 75.0]","[2, 2]","[4076.7327708350604, nan]",4076.7327708350576,,,
A,2020-12-23,Influent,County 6,N1_per_PMMoV,"['1', '2']","[75.0, 70.0]","[3, 3]","[0.018245064806683815, nan]",0.0182450648066838,,,
A,2020-12-23,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 70.0]","[3, 3]","[20.031071800350123, 79.59722205509323]",39.93015990569014,2.6527354741165112,105.92415166896905,15.052446915759216
A,2020-12-23,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 70.0]","[3, 3]","[1097.88986844333, nan]",1097.8898684433304,,,
A,2021-01-05,Influent,County 6,N1_per_PMMoV,"['1', '2']","[90.0, 80.0]","[2, 3]","[0.003994209141750175, nan]",0.0039942091417501,,,
A,2021-01-05,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 80.0]","[2, 3]","[19.620848641120478, 26.247965909890475]",22.693773733234657,1.228464599181721,27.87849765311877,18.473282623163065
A,2021-01-05,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 80.0]","[2, 3]","[4912.323802985202, nan]",4912.323802985201,,,
A,2021-01-12,Influent,County 6,N1_per_PMMoV,"['1', '2']","[75.0, 65.0]","[3, 3]","[0.0024519894354316225, nan]",0.0024519894354316,,,
A,2021-01-12,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 65.0]","[3, 3]","[98.44576852564313, 25.627271795312783]",50.2284428098772,2.590002307000272,130.09178275461315,19.393203887934582
A,2021-01-12,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 65.0]","[3, 3]","[40149.34448863715, nan]",40149.34448863715,,,
A,2021-01-19,Influent,County 6,N1_per_PMMoV,"['1', '2']","[75.0, 85.0]","[3, 3]","[nan, 0.0002129519919363896]",0.0002129519919363,,,
A,2021-01-19,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 85.0]","[3, 3]","[52.29240476057078, 17.89331410197287]",30.58895917693825,2.134683276745115,65.2977396080491,14.329507103076736
A,2021-01-19,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 85.0]","[3, 3]","[nan, 84025.10790938148]",84025.10790938142,,,
A,2021-01-26,Influent,County 6,N1_per_PMMoV,"['1', '2']","[77.5, 82.5]","[3, 3]","[nan, 0.010166598375280313]",0.0101665983752803,,,
A,2021-01-26,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[77.5, 82.5]","[3, 3]","[249.9776871832638, 149.7552962158223]",193.4825123660428,1.43662934366762,277.9626547515902,134.67810136196624
