sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower,sampling_days,site_pretreatment,site_population_served,percent_industrial_flow,n_sample_size
A,2020-10-02,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[60.0],[3],[2.057956928332534],2.057956928332534,,,,Tuesday,,8400.0,0.0,43
A,2020-10-02,Influent,County 6,pmmov_gc_per_mL,['1'],[60.0],[3],[3682.7608316923656],3682.760831692366,,,,Tuesday,,8400.0,0.0,43
A,2020-10-05,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[2.0143522598514414],2.0143522598514414,,,,Tuesday,,8400.0,0.0,43
A,2020-10-05,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[5959.754298477135],5959.754298477137,,,,Tuesday,,8400.0,0.0,43
A,2020-10-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[75.0],[1],[2.0194370819134164],2.0194370819134164,,,,Tuesday,,8400.0,0.0,43
A,2020-10-13,Influent,County 6,pmmov_gc_per_mL,['1'],[75.0],[1],[4264.7242105346095],4264.724210534613,,,,Tuesday,,8400.0,0.0,43
A,2020-10-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[1.945761887389031],1.945761887389031,,,,Tuesday,,8400.0,0.0,43
A,2020-10-20,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[4124.670356655342],4124.670356655341,,,,Tuesday,,8400.0,0.0,43
A,2020-10-27,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,['1'],[85.0],[0],[1.9682617788165828],1.9682617788165828,,,,Tuesday,,8400.0,0.0,43
A,2020-10-27,Influent,County 6,pmmov_gc_per_mL,['1'],[85.0],[0],[3451.732021892431],3451.732021892432,,,,Tuesday,,8400.0,0.0,43
